pmid,title,year,journal,stratum_id,age_group,sex,clinical_cohort,setting,treatment_category,treatment_names,outcome_direction,risk_factors,symptoms
38090695,Overcoming treatment gaps in the management of depression with non-pharmacological adjunctive strategies.,,Frontiers in psychiatry,male,unspecified,male,unspecified,unspecified,psychotherapy,,benefit,/Triggers/Risk Factors**:,
32387133,N<sup>6</sup>-Methyladenosine Modification of Fatty Acid Amide Hydrolase Messenger RNA in Circular RNA STAG1-Regulated Astrocyte Dysfunction and Depressive-like Behaviors.,2020.0,Biological psychiatry,male,unspecified,male,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors:**,
31740355,Sex-discrete role of depressive symptomatology on 10-year first and recurrent cardiovascular disease incidence: results from ATTICA and GREECS prospective studies.,2020.0,Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,general,unspecified,unspecified,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors:**,atology is associated with an increased likelihood of both first and recurrent cardiovascular disease (CVD) events; particularly in women.
31944483,Trajectories of pain and anxiety in a longitudinal cohort of adolescent twins.,2020.0,Depression and anxiety,adolescents,adolescents,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:**,female sex; and lower socioeconomic status.
31944483,Trajectories of pain and anxiety in a longitudinal cohort of adolescent twins.,2020.0,Depression and anxiety,older_adults,older_adults,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:**,female sex; and lower socioeconomic status.
32763833,Efficacy of five-element music interventions in perinatal mental health and labor pain: A meta-analysis.,2020.0,Complementary therapies in clinical practice,perinatal|female,perinatal,female,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors for Depression/Anxiety:**,
32763833,Efficacy of five-element music interventions in perinatal mental health and labor pain: A meta-analysis.,2020.0,Complementary therapies in clinical practice,perinatal|male,perinatal,male,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors for Depression/Anxiety:**,
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,adults|male|comorbid_mental|inpatient,adults,male,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,adults|comorbid_mental|inpatient,adults,unspecified,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,older_adults|male|comorbid_mental|inpatient,older_adults,male,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
