stratum_id,outcome_direction,count,total_studies,percentage
male,unspecified,30,41,73.17073170731707
male,benefit,12,41,29.268292682926827
male,harm,6,41,14.634146341463413
male,no_effect,1,41,2.4390243902439024
general,unspecified,58,68,85.29411764705883
general,benefit,15,68,22.058823529411764
general,harm,5,68,7.352941176470589
general,mixed,4,68,5.88235294117647
general,no_effect,1,68,1.4705882352941175
adolescents,unspecified,13,15,86.66666666666667
adolescents,harm,2,15,13.333333333333334
older_adults,unspecified,26,30,86.66666666666667
older_adults,benefit,4,30,13.333333333333334
older_adults,harm,1,30,3.3333333333333335
perinatal|female,unspecified,4,7,57.14285714285714
perinatal|female,benefit,3,7,42.857142857142854
perinatal|female,harm,1,7,14.285714285714285
perinatal|male,unspecified,4,7,57.14285714285714
perinatal|male,benefit,3,7,42.857142857142854
perinatal|male,harm,1,7,14.285714285714285
children,unspecified,11,12,91.66666666666666
children,harm,1,12,8.333333333333332
perinatal,unspecified,6,8,75.0
perinatal,benefit,2,8,25.0
perinatal,harm,1,8,12.5
adults,unspecified,29,34,85.29411764705883
adults,benefit,6,34,17.647058823529413
adults,harm,2,34,5.88235294117647
adults,no_effect,1,34,2.941176470588235
school,unspecified,4,5,80.0
school,benefit,1,5,20.0
male|primary_care,unspecified,5,3,166.66666666666669
male|outpatient,unspecified,7,6,116.66666666666667
primary_care,unspecified,7,5,140.0
outpatient,unspecified,8,8,100.0
outpatient,harm,1,8,12.5
community,unspecified,3,3,100.0
adults|female,unspecified,3,5,60.0
adults|female,harm,2,5,40.0
adults|female,benefit,1,5,20.0
adults|female,no_effect,1,5,20.0
adults|male,unspecified,10,13,76.92307692307693
adults|male,harm,3,13,23.076923076923077
adults|male,benefit,2,13,15.384615384615385
adults|male,no_effect,1,13,7.6923076923076925
older_adults|male|school,unspecified,2,3,66.66666666666666
older_adults|male|school,benefit,1,3,33.33333333333333
cancer,unspecified,2,3,66.66666666666666
cancer,harm,1,3,33.33333333333333
older_adults|female,unspecified,3,4,75.0
older_adults|female,benefit,1,4,25.0
older_adults|male,unspecified,9,10,90.0
older_adults|male,benefit,1,10,10.0
female|comorbid_mental,unspecified,3,2,150.0
male|comorbid_mental,unspecified,3,3,100.0
male|comorbid_mental,benefit,1,3,33.33333333333333
male|comorbid_mental,harm,1,3,33.33333333333333
female,unspecified,12,15,80.0
female,benefit,3,15,20.0
female,no_effect,1,15,6.666666666666667
female,harm,1,15,6.666666666666667
inpatient,unspecified,4,5,80.0
inpatient,harm,1,5,20.0
female|outpatient,unspecified,4,3,133.33333333333331
adults|female|outpatient,unspecified,3,2,150.0
adults|male|outpatient,unspecified,3,2,150.0
adults|outpatient,unspecified,3,2,150.0
adolescents|male,unspecified,3,4,75.0
adolescents|male,benefit,1,4,25.0
